,exp_id,agent_id,env_name,exp_seed,num_episodes,time_limit,episode_step_limit,policy_id,c_init,c_base,truncated,extra_particles_prop,step_limit,epsilon,discount,other_policy_ids,other_policy_dist,meta_policy_ids,meta_policy_dict,reinvigorator,num_sims,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,policy_calls_mean,policy_calls_std,inference_time_mean,inference_time_std,search_depth_mean,search_depth_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
0,0,0,LBF10x10-n2-f7-static-v2,0,100,None,None,pi_baposgmcp,1.25,20000,False,0.0625,50,0.01,0.99,"['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{1: {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic2-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic3-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic4-v0': 0.25}}","['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{(-1, 'LBF10x10-n2-f7-static-v2/heuristic1-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic2-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic3-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic4-v0'): {'LBF10x10-n2-f7-static-v2/heuristic3-v0': 1.0}}",<baposgmcp.tree.reinvigorate.BABeliefRejectionSampler object at 0x7ff84ae42d90>,16,0.0873476596653358,0.0208936418321899,0.1813831955306916,0.0570449077193382,0.1810393495293333,0.0570841248368687,1335.9277370876298,278.1344938148451,0.0024010308991607,0.0005452571925511,2.318832968581779,2.070037422664887,0.3520692395839455,0.2957510452020415,0.9999999999999998,0.0,0.3082520242525099,0.2643127531708937,0.9026983572921884,0.0,40.42,13.12568474404288,11.096283566951753,4.8570124072071374,1.0,0,0,0,100
1,0,1,LBF10x10-n2-f7-static-v2,0,100,None,None,LBF10x10-n2-f7-static-v2/heuristic1-v0,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.3023633180544943,0.372091416732601,1.5714285714285712,0.0,0.2406776007757008,0.2902470181967497,1.2625582488110227,0.0,40.42,13.12568474404288,11.096283566951753,4.8570124072071374,1.0,0,0,0,100
2,4,0,LBF10x10-n2-f7-static-v2,0,100,None,None,pi_baposgmcp,1.25,20000,False,0.0625,50,0.01,0.99,"['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{1: {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic2-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic3-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic4-v0': 0.25}}","['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{(-1, 'LBF10x10-n2-f7-static-v2/heuristic1-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic2-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic3-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic4-v0'): {'LBF10x10-n2-f7-static-v2/heuristic3-v0': 1.0}}",<baposgmcp.tree.reinvigorate.BABeliefRejectionSampler object at 0x7ff84ae42c40>,64,0.3378609982825286,0.0591580853213014,0.1899834669105305,0.0521585987414657,0.1888006539934993,0.0522389949277145,3191.983795152928,489.55610522641575,0.0054594551797865,0.0008960470619292,3.9214423675385808,3.4375043238287377,0.461582944832945,0.3008915417664599,1.0606060606060608,0.0,0.4062487409973274,0.2676623136819125,0.9163292982163768,0.0,39.21,13.367344538089828,20.9540784072876,8.177203917176161,1.0,0,0,0,100
3,4,1,LBF10x10-n2-f7-static-v2,0,100,None,None,LBF10x10-n2-f7-static-v2/heuristic1-v0,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.2720346181596181,0.3652817616692916,1.5714285714285712,0.0,0.215832929793845,0.2835442849698342,1.148208217700456,0.0,39.21,13.367344538089828,20.9540784072876,8.177203917176161,1.0,0,0,0,100
4,5,0,LBF10x10-n2-f7-static-v2,0,100,None,None,pi_baposgmcp,1.25,20000,False,0.0625,50,0.01,0.99,"['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{1: {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic2-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic3-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic4-v0': 0.25}}","['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{(-1, 'LBF10x10-n2-f7-static-v2/heuristic1-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic2-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic3-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic4-v0'): {'LBF10x10-n2-f7-static-v2/heuristic3-v0': 1.0}}",<baposgmcp.tree.reinvigorate.BABeliefRejectionSampler object at 0x7ff84ae42c40>,64,0.3585256504177707,0.0722879004616261,0.1918115416195489,0.0719341097479485,0.1905880764718822,0.0719405352905599,3080.1781443632417,575.5867406548803,0.0056153717898644,0.0011415433430654,4.299916557149496,4.095305429997183,0.4759205655455657,0.3192598710022105,1.0,0.0,0.4177559850861304,0.2839031592721924,0.9026983572921884,0.0,40.92,12.90013953412908,22.71925466537476,8.7357895114032,1.0,0,0,0,100
5,5,1,LBF10x10-n2-f7-static-v2,0,100,None,None,LBF10x10-n2-f7-static-v2/heuristic2-v0,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.0379715284715284,0.0942222182705349,0.6923076923076924,0.0,0.028615881276201,0.0691018527152563,0.5024165689424053,0.0,40.92,12.90013953412908,22.71925466537476,8.7357895114032,1.0,0,0,0,100
6,2,0,LBF10x10-n2-f7-static-v2,0,100,None,None,pi_baposgmcp,1.25,20000,False,0.0625,50,0.01,0.99,"['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{1: {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic2-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic3-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic4-v0': 0.25}}","['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{(-1, 'LBF10x10-n2-f7-static-v2/heuristic1-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic2-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic3-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic4-v0'): {'LBF10x10-n2-f7-static-v2/heuristic3-v0': 1.0}}",<baposgmcp.tree.reinvigorate.BABeliefRejectionSampler object at 0x7ff84ae42d90>,16,0.0877394768569527,0.0192575920502351,0.1789286083213347,0.0544443100622604,0.1785886191372116,0.0544664173912537,1332.6357380577094,267.7959237861264,0.0024311547142775,0.0005633150179156,2.427505706620244,2.038172630284832,0.3978902796549853,0.3298015979147267,1.0,0.0,0.3471933256280987,0.2909280783180625,0.9026983572921884,0.0,38.68,12.905719662227288,10.458484916687013,4.507583079083383,1.0,0,0,0,100
7,2,1,LBF10x10-n2-f7-static-v2,0,100,None,None,LBF10x10-n2-f7-static-v2/heuristic3-v0,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.3308439926086984,0.3734832601379736,1.8571428571428568,0.0,0.2608190624935715,0.2932148876025866,1.5507367494948603,0.0,38.68,12.905719662227288,10.458484916687013,4.507583079083383,1.0,0,0,0,100
8,8,0,LBF10x10-n2-f7-static-v2,0,100,None,None,pi_baposgmcp,1.25,20000,False,0.0625,50,0.01,0.99,"['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{1: {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic2-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic3-v0': 0.25, 'LBF10x10-n2-f7-static-v2/heuristic4-v0': 0.25}}","['LBF10x10-n2-f7-static-v2/heuristic1-v0', 'LBF10x10-n2-f7-static-v2/heuristic2-v0', 'LBF10x10-n2-f7-static-v2/heuristic3-v0', 'LBF10x10-n2-f7-static-v2/heuristic4-v0']","{(-1, 'LBF10x10-n2-f7-static-v2/heuristic1-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic2-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic3-v0'): {'LBF10x10-n2-f7-static-v2/heuristic1-v0': 1.0}, (-1, 'LBF10x10-n2-f7-static-v2/heuristic4-v0'): {'LBF10x10-n2-f7-static-v2/heuristic3-v0': 1.0}}",<baposgmcp.tree.reinvigorate.BABeliefRejectionSampler object at 0x7ff84ae42ac0>,256,1.422369909883556,0.2925196450311498,0.1953750891504276,0.0567026138954123,0.1902921400806712,0.0564066223011796,11024.971415468322,2020.913894439891,0.0183445455461849,0.003702760334042,7.231431318230213,5.4951820792480754,0.5012524581899582,0.301729451126334,1.2121212121212124,0.0,0.4454339247566089,0.2703731032478874,1.0812236756238978,0.0,36.31,13.812816512210675,58.37283166646957,23.163460480324822,1.0,0,0,0,100
9,8,1,LBF10x10-n2-f7-static-v2,0,100,None,None,LBF10x10-n2-f7-static-v2/heuristic1-v0,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,0.3323149768260063,0.384815367027165,1.3809523809523807,0.0,0.2650006199093746,0.3018564420114016,1.1202766207828092,0.0,36.31,13.812816512210675,58.37283166646957,23.163460480324822,1.0,0,0,0,100
